Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
14970,Lost Arena 3,PS4,2004.0,Shooter,Bandai Namco,0.02,0.01,0.01,0.0,0.04,,6.0
14971,Dark Horizon,PS4,2013.0,Action,Take-Two Interactive,0.68,0.43,0.24,0.0,1.35,74.0,7.5
14972,Savage Syndicate III,Xbox 360,2000.0,Action,Bandai Namco,0.03,0.02,0.0,0.01,0.06,98.0,5.9
14973,Golden Frontier: Redux,PS3,2016.0,Shooter,Warner Bros. Interactive,0.0,0.0,0.0,0.01,0.01,61.0,7.4
14974,Steel Genesis: Gold Edition,Nintendo Switch,2011.0,Racing,Team17,0.06,0.03,0.02,0.0,0.11,,8.6
14975,Shadow Warfare 2,Playstation 5,2013.0,Sports,Konami,0.01,0.01,0.0,0.01,0.03,58.0,
14976,Rogue Kingdom,DS,2010.0,Misc,Ubisoft,0.03,0.01,0.01,0.01,0.06,,6.0
14977,Grand Frontier,Nintendo Switch,2006.0,Strategy,Codemasters,0.08,0.04,0.07,0.05,0.24,66.0,6.3
14978,Eternal Horizon,Xbox 360,2019.0,Sports,Codemasters,0.06,0.02,0.01,0.03,0.12,88.0,8.2
14979,Wild Dominion III,Xbox Series X,2004.0,Adventure,2K Games,0.25,0.09,0.06,0.15,0.55,56.0,8.8
14980,Ancient Chronicles: Remastered,PSP,2001.0,Fighting,Focus Entertainment,0.02,0.02,0.01,0.0,0.05,64.0,3.9
14981,Iron Uprising IV,Nintendo Switch,2010.0,Puzzle,Electronic Arts,0.09,0.11,0.05,0.07,0.32,72.0,8.1
14982,Silent Paradox: Gold Edition,Nintendo Switch,2018.0,Role-Playing,Codemasters,-0.44,0.48,0.23,0.25,1.4,72.0,4.1
14983,Iron Origins 3,gamecube,2014.0,Misc,Bandai Namco,0.11,0.07,0.09,0.08,0.35,,7.7
14984,Lost Frontier IV,PC,2019.0,Fighting,Ubisoft,0.01,0.01,0.01,0.02,0.05,78.0,8.3
14985,Radiant Empire: Origins,Nintendo Switch,2024.0,Role-Playing,Bandai Namco,0.07,0.04,0.04,0.05,0.2,68.0,10.0
14986,Rogue Empire III,PC,2022.0,Platform,Deep Silver,0.14,0.08,0.08,0.0,0.29,68.0,
14987,Broken Sanctuary,PS Vita,2019.0,Action,Activision,0.08,0.06,0.03,0.0,0.17,62.0,7.7
14988,Rising Frontier IV,PS3,,Fighting,Team17,0.08,0.05,0.02,0.01,0.16,77.0,7.9
14989,Eternal Chronicles 3,ps3,2003.0,Platform,Capcom,0.1,0.05,0.03,0.08,0.26,78.0,7.7
14990,Frozen Vanguard Reborn,PS2,2003.0,Adventure,Microsoft Studios,0.02,0.01,0.0,0.04,0.07,,5.2
14991,Rogue Requiem,GameCube,2024.0,Shooter,505 Games,0.09,0.03,0.01,0.07,0.2,98.0,
14992,Shadow Syndicate III,PS4,2010.0,Shooter,Annapurna Interactive,0.55,0.44,0.19,0.48,1.66,54.0,6.1
14993,Golden Genesis 2,3DS,,Role-Playing,Paradox Interactive,0.06,0.05,0.01,0.03,0.15,44.0,6.3
14994,Crimson Warfare IV,PC,2000.0,Shooter,Paradox Interactive,0.45,0.31,0.21,0.06,1.03,45.0,
14995,Neon Blitz,PC,,Adventure,Annapurna Interactive,0.1,0.04,0.03,0.07,0.24,62.0,10.0
14996,Rising Requiem: Redux,Wii U,2016.0,Puzzle,2K Games,0.02,0.01,0.01,0.0,0.04,95.0,7.2
14997,Rogue Odyssey III,Xbox Series X,2005.0,Racing,Ubisoft,0.0,0.0,0.0,0.01,0.01,64.0,6.8
14998,Storm Crusade: Remastered,3DS,2008.0,Role-Playing,Codemasters,0.08,0.04,0.01,0.03,0.16,75.0,5.5
14999,  RISING BLITZ: REMASTERED  ,PSP,2017.0,Action,Nintendo,0.02,0.01,0.01,0.0,0.03,81.0,5.2
15000,Neon Arena IV,PC,2009.0,Adventure,Tecmo Koei,0.04,0.02,0.02,0.01,0.09,54.0,6.9
15001,Savage Genesis: Origins,PS3,2019.0,Action,Bethesda Softworks,0.13,0.12,0.12,0.06,0.43,,9.7
15002,Crimson Uprising IV,Wii U,2022.0,Action,Bethesda Softworks,0.01,0.01,0.0,0.03,0.05,,8.2
15003,Savage Genesis,DS,2002.0,Simulation,Electronic Arts,0.01,0.0,0.0,0.01,0.02,66.0,5.3
15004,Dark Voyage: Remastered,PC,2016.0,Racing,Epic Games,0.11,0.08,0.04,0.01,0.24,,7.5
15005,Dark Crusade,3DS,2019.0,Platform,Capcom,0.25,0.08,0.09,0.11,0.53,63.0,6.1
15006,Wicked Covenant III,Game Boy Advance,2025.0,Adventure,Devolver Digital,0.01,0.01,0.01,0.0,0.03,75.0,6.6
15007,Hollow Voyage 3,PC,2002.0,Racing,THQ,0.01,0.01,0.0,0.0,0.02,73.0,7.0
15008,Shadow Odyssey Online,Xbox One,2002.0,Misc,Bandai Namco,0.01,0.01,0.0,0.0,0.02,61.0,6.8
15009,Silent Frontier: Origins,PS3,2025.0,Racing,Deep Silver,0.24,0.17,0.11,0.0,0.52,76.0,8.5
15010,Iron Genesis 2,Xbox Series X,2010.0,Role-Playing,Take-Two Interactive,0.58,0.57,0.44,0.24,1.83,84.0,8.4
15011,Final Vanguard,PS Vita,2007.0,Misc,Focus Entertainment,0.01,0.01,0.01,0.02,0.05,,7.5
15012,  HOLLOW GENESIS III  ,PS3,2008.0,Racing,Warner Bros. Interactive,0.02,0.01,0.01,0.03,0.07,61.0,6.9
15013,Wicked Legends 3,Nintendo Switch,2008.0,Simulation,Tecmo Koei,0.03,0.01,0.01,0.01,0.06,86.0,8.2
15014,  CRIMSON COVENANT  ,Xbox Series X,2026.0,Misc,Warner Bros. Interactive,0.02,0.01,0.01,0.02,0.06,76.0,10.0
15015,Lost Requiem,Wii U,2019.0,Racing,Sega,0.04,0.03,0.02,0.0,0.09,94.0,6.6
15016,Storm Paradox 2,switch,2018.0,Role-Playing,THQ,0.14,0.09,0.02,0.04,0.29,76.0,8.7
15017,Wild Requiem: Origins,wii u,2021.0,Action,,0.06,0.04,0.01,0.02,0.13,70.0,7.1
15018,Twisted Kingdom Reborn,Xbox Series X,2008.0,Misc,Sega,0.22,0.16,0.11,0.0,0.49,64.0,5.5
15019,Grand Nexus: Redux,PSP,2002.0,Shooter,Annapurna Interactive,0.03,0.03,0.01,0.03,0.1,68.0,7.5
15020,Broken Vanguard III,PS5,2003.0,Strategy,Atari,0.12,0.07,0.05,0.0,0.24,58.0,6.6
15021,Astral Voyage: Gold Edition,PS5,2007.0,Simulation,Konami,0.04,0.04,0.03,0.0,0.11,86.0,
15022,Twisted Covenant III,PC,2024.0,Strategy,Square Enix,0.01,0.01,0.01,0.01,0.04,67.0,9.0
15023,Rogue Kingdom,PS4,2014.0,Shooter,Microsoft Studios,0.02,0.03,0.01,0.03,0.09,63.0,
15024,Steel Syndicate IV,3DS,209.0,Action,,0.04,0.04,0.03,0.01,0.12,72.0,
15025,Astral Crusade IV,switch,2002.0,Role-Playing,THQ,0.81,0.5,0.48,0.0,1.78,82.0,7.3
15026,Neon Odyssey 3,PSP,2024.0,Strategy,505 Games,0.08,0.03,0.03,0.01,0.15,90.0,9.3
15027,Ancient Horizon: Redux,Wii U,2016.0,Action,Annapurna Interactive,-0.15,0.11,0.09,0.01,0.36,85.0,6.1
15028,Frozen Realm: Remastered,PS3,2002.0,Action,Square Enix,0.16,0.1,0.04,0.29,0.59,69.0,7.6
15029,  HOLLOW HORIZON IV  ,PSP,2020.0,Platform,Square Enix,0.1,0.08,0.04,0.09,0.31,,10.0
15030,Shadow Chronicles: Redux,PS4,2020.0,Fighting,NetherRealm Studios,0.04,0.02,0.02,0.0,0.08,65.0,
15031,Rogue Horizon IV,Xbox 360,2005.0,Sports,Devolver Digital,0.09,0.05,0.04,0.0,0.18,54.0,10.0
15032,Rogue Syndicate: Redux,Nintendo Switch,2026.0,Adventure,Microsoft Studios,0.02,0.02,0.0,0.02,0.06,,7.7
15033,Fallen Crusade: Origins,Game Boy Advance,2024.0,Fighting,NetherRealm Studios,0.02,0.01,0.01,0.0,0.03,66.0,9.2
15034,Ancient Horizon Reborn,Nintendo Switch,,Platform,Sega,0.09,0.07,0.04,0.02,0.22,72.0,8.1
15035,Rising Covenant 2,3DS,2006.0,Simulation,Activision,0.04,0.04,0.03,0.02,0.13,57.0,6.4
15036,Twisted Nexus: Origins,PS5,2016.0,Puzzle,Rockstar Games,0.16,0.12,0.07,0.0,0.34,65.0,7.3
15037,  WICKED LEGION 2  ,Wii,2019.0,Action,Codemasters,0.06,0.04,0.03,0.0,0.13,58.0,4.5
15038,Dark Genesis Reborn,Xbox Series X,2012.0,Fighting,Rockstar Games,0.09,0.06,0.05,0.04,0.24,66.0,9.2
15039,Radiant Arena: Redux,PS Vita,2017.0,Shooter,Square Enix,0.02,0.01,0.01,0.0,0.04,71.0,6.2
15040,Eternal Rebellion II,Xbox One,2009.0,Racing,Capcom,0.02,0.03,0.01,0.03,0.09,62.0,8.3
15041,Final Rebellion Online,PC,2014.0,Misc,Capcom,0.07,0.03,0.03,0.01,0.14,56.0,8.2
15042,Final Odyssey II,PS4,2007.0,Puzzle,Tecmo Koei,0.16,0.14,0.01,0.27,0.58,65.0,6.3
15043,Neon Horizon 3,Xbox 360,2017.0,Puzzle,505 Games,0.03,0.02,0.02,0.01,0.08,49.0,8.8
15044,Astral Odyssey: Remastered,Wii U,2016.0,Adventure,Focus Entertainment,0.08,0.07,0.01,0.08,0.24,57.0,6.9
15045,Golden Vanguard II,Xbox 360,2021.0,Fighting,Team17,0.05,0.04,0.03,0.09,0.21,70.0,6.6
15046,Wicked Horizon Online,DS,2019.0,Shooter,Warner Bros. Interactive,0.03,0.03,0.03,0.0,0.09,34.0,5.5
15047,Silent Paradox,Game Boy Advance,2015.0,Adventure,NetherRealm Studios,0.03,0.02,0.01,0.01,0.07,44.0,7.5
15048,Grand Voyage III,Nintendo Switch,2001.0,Adventure,Bandai Namco,0.05,0.02,0.01,0.03,0.11,60.0,6.3
15049,Dark Reckoning: Origins,DS,,Shooter,Focus Entertainment,0.09,0.05,0.05,0.0,0.19,64.0,5.2
15050,Twisted Nexus Reborn,Wii U,2015.0,Action,Sega,0.03,0.03,0.01,0.01,0.08,71.0,7.9
15051,Broken Arena: Redux,Xbox One,2011.0,Strategy,Square Enix,0.04,0.03,0.03,0.02,0.12,63.0,7.3
15052,Iron Uprising 2,3DS,2024.0,Fighting,Devolver Digital,0.03,0.02,0.01,0.03,0.09,66.0,6.3
15053,Final Horizon III,PS2,2021.0,Shooter,Atari,0.06,0.03,0.06,0.06,0.21,,6.6
15054,Frozen Vanguard: Remastered,PSP,2015.0,Racing,Capcom,0.03,0.01,0.01,0.01,0.06,66.0,8.4
15055,Storm Legion: Gold Edition,XBOX ONE,2010.0,Simulation,CD Projekt,0.02,0.01,0.01,0.01,0.05,97.0,6.4
15056,Savage Requiem,PSP,2022.0,Action,Rockstar Games,0.02,0.01,0.01,0.01,0.05,67.0,7.9
15057,Savage Odyssey III,Wii,2011.0,Puzzle,Warner Bros. Interactive,0.69,0.55,0.06,0.53,1.83,68.0,7.4
15058,Wild Arena II,xbox series x,2002.0,Role-Playing,Square Enix,0.08,0.07,0.06,0.0,0.21,69.0,
15059,Frozen Kingdom: Gold Edition,PS2,2022.0,Strategy,Codemasters,0.01,0.0,0.0,0.02,0.03,73.0,10.0
15060,Rogue Warfare: Origins,PS5,2022.0,Fighting,Team17,0.15,0.1,0.03,0.15,0.43,77.0,6.2
15061,Rising Requiem: Redux,Xbox 360,2002.0,Sports,2K Games,0.54,0.32,0.14,0.07,1.07,58.0,8.1
15062,Broken Paradox,PS4,2014.0,Racing,Bethesda Softworks,0.05,0.02,0.01,0.01,0.09,78.0,7.4
15063,Wicked Vanguard Reborn,GameCube,2005.0,Adventure,NetherRealm Studios,0.07,0.02,0.03,0.02,0.14,84.0,8.4
15064,Dark Dominion,xbox series x,2006.0,Platform,Warner Bros. Interactive,0.1,0.05,0.03,0.04,0.22,74.0,8.1
15065,Rising Dominion 2,Xbox 360,2009.0,Simulation,Capcom,0.07,0.07,0.05,0.04,0.23,69.0,5.0
15066,Hollow Sanctuary: Origins,Xbox Series X,2021.0,Strategy,Square Enix,0.4,0.21,0.21,0.01,0.83,,4.7
15067,Radiant Realm: Origins,PSP,2011.0,Sports,Deep Silver,0.02,0.01,0.01,0.02,0.06,78.0,6.4
15068,Storm Realm 3,3DS,2025.0,Fighting,Activision,0.06,0.04,0.03,0.07,0.2,79.0,8.4
15069,Rogue Nexus II,Xbox 360,2009.0,Strategy,CD Projekt,0.56,0.43,0.11,0.32,1.42,75.0,8.2
15070,Sacred Kingdom IV,PS2,2016.0,Fighting,2K Games,0.44,0.53,0.41,0.15,1.53,68.0,4.8
15071,Eternal Blitz: Gold Edition,PSP,2015.0,Platform,Deep Silver,0.05,0.04,0.02,0.07,0.18,91.0,7.0
15072,Steel Reckoning III,3DS,2015.0,Puzzle,CD Projekt,0.05,0.04,0.01,0.02,0.12,84.0,8.5
15073,Shadow Origins: Remastered,Game Boy Advance,2026.0,Shooter,Capcom,0.08,0.04,0.02,0.03,0.17,71.0,6.5
15074,Astral Realm,PSP,2019.0,Action,NetherRealm Studios,0.02,0.01,0.01,0.0,0.04,74.0,
15075,Sacred Horizon: Origins,PS2,2007.0,Action,Paradox Interactive,0.01,0.01,0.01,0.0,0.03,,5.5
15076,Rogue Arena: Origins,DS,2015.0,Simulation,Sony Interactive Entertainment,0.02,0.01,0.0,0.02,0.05,50.0,8.6
15077,Crimson Rebellion: Redux,PS2,2010.0,Platform,Square Enix,0.15,0.08,0.11,0.07,0.41,50.0,7.2
15078,Shadow Vanguard,Game Boy Advance,2000.0,Platform,Take-Two Interactive,11.82,6.25,7.5,11.41,36.98,63.0,6.0
15079,Steel Horizon Reborn,Xbox 360,2025.0,Adventure,Nintendo,0.21,0.16,0.1,0.22,0.69,,
15080,Final Origins: Remastered,PSP,2015.0,Misc,NetherRealm Studios,0.11,0.11,0.09,0.03,0.34,,6.5
15081,Eternal Horizon III,Playstation 5,2009.0,Action,Annapurna Interactive,0.24,0.09,0.08,0.1,0.51,53.0,6.9
15082,Frozen Frontier: Origins,PC,,Misc,Capcom,0.06,0.04,0.05,0.04,0.19,57.0,9.0
15083,Astral Voyage: Remastered,Wii,2018.0,Simulation,Focus Entertainment,0.02,0.01,0.0,0.01,0.04,65.0,9.0
15084,Silent Horizon II,GameCube,2015.0,Racing,Sony Interactive Entertainment,0.05,0.03,0.01,0.03,0.12,65.0,6.8
15085,Phantom Nexus: Origins,Xbox Series X,2004.0,Puzzle,THQ,0.07,0.02,0.03,0.02,0.14,61.0,5.5
15086,Iron Syndicate IV,Nintendo Switch,2010.0,Platform,Team17,0.04,0.05,0.02,0.03,0.14,83.0,6.4
15087,Golden Empire: Remastered,PS4,2001.0,Action,Rockstar Games,0.07,0.05,0.03,0.1,0.25,,9.1
15088,Fallen Legion 3,PS2,2022.0,Puzzle,Devolver Digital,0.12,0.11,0.08,0.0,0.31,66.0,
15089,Radiant Odyssey 3,Game Boy Advance,2021.0,Role-Playing,Konami,0.05,0.04,0.01,0.03,0.13,,4.9
15090,Rising Genesis: Remastered,PS Vita,2013.0,Misc,Focus Entertainment,0.02,0.01,0.0,0.02,0.05,94.0,8.4
15091,Iron Sanctuary IV,DS,2002.0,Puzzle,Annapurna Interactive,0.2,0.14,0.11,0.04,0.49,67.0,6.8
15092,Twisted Realm: Redux,DS,2015.0,Racing,Tecmo Koei,0.0,0.0,0.0,0.01,0.01,,7.1
15093,Ancient Dominion: Remastered,PS Vita,2016.0,Adventure,Activision,0.14,0.11,0.05,0.17,0.47,,5.9
15094,Hollow Uprising,3DS,2001.0,Misc,Devolver Digital,0.02,0.01,0.01,0.02,0.06,74.0,6.3
15095,Twisted Rebellion: Origins,3DS,2004.0,Platform,Team17,0.1,0.11,0.03,0.08,0.32,,7.5
15096,Fallen Rebellion: Redux,3DS,2023.0,Strategy,Atari,0.03,0.01,0.02,0.01,0.07,,
15097,Fallen Chronicles,ps3,2025.0,Adventure,2K Games,0.03,0.03,0.02,0.02,0.1,77.0,7.8
15098,Lost Frontier Online,PC,2021.0,Action,Epic Games,0.03,0.02,0.0,0.02,0.07,72.0,6.8
15099,Radiant Warfare Reborn,3DS,2006.0,Shooter,Electronic Arts,0.07,0.05,0.07,0.04,0.23,,7.3
15100,Rogue Horizon: Redux,3DS,2004.0,Platform,Activision,0.5,0.29,0.05,0.08,0.92,72.0,6.0
15101,Radiant Dominion Online,3DS,2022.0,Misc,THQ,0.02,0.01,0.0,0.01,0.04,64.0,5.3
15102,Iron Origins Online,Wii,2021.0,Shooter,Team17,0.01,0.01,0.01,0.0,0.03,,5.7
15103,Fallen Blitz,Xbox One,2009.0,Simulation,2K Games,0.48,0.38,0.36,0.08,1.3,76.0,9.5
15104,Frozen Origins: Gold Edition,3ds,2005.0,Role-Playing,Annapurna Interactive,0.03,0.02,0.01,0.01,0.07,59.0,
15105,Broken Covenant III,Wii U,2021.0,Sports,Sony Interactive Entertainment,0.08,0.03,0.02,0.06,0.19,75.0,8.5
15106,Broken Arena III,Xbox One,2001.0,Role-Playing,Sony Interactive Entertainment,0.42,0.22,0.23,0.14,1.01,87.0,6.3
15107,Phantom Nexus: Remastered,3DS,2017.0,Fighting,Konami,0.03,0.03,0.01,0.03,0.1,78.0,7.3
15108,Storm Sanctuary Online,PS3,2002.0,Puzzle,Capcom,0.01,0.0,0.0,0.01,0.02,62.0,7.0
15109,Silent Empire II,PS4,2001.0,Shooter,Sega,0.73,0.6,0.5,0.63,2.46,65.0,5.2
15110,Shadow Empire: Gold Edition,PS4,2010.0,Platform,Square Enix,0.34,0.27,0.18,0.1,0.89,71.0,6.7
15111,Sacred Blitz IV,Game Boy Advance,2004.0,Racing,2K Games,0.04,0.01,0.01,0.01,0.07,84.0,5.2
15112,Radiant Empire: Origins,PSP,2001.0,Misc,Nintendo,0.02,0.01,0.02,0.01,0.06,72.0,7.4
15113,Storm Kingdom III,DS,2023.0,Strategy,Take-Two Interactive,0.03,0.01,0.01,0.01,0.06,79.0,7.3
15114,Hollow Warfare: Remastered,PS Vita,2013.0,Simulation,Devolver Digital,0.13,0.1,0.07,0.06,0.36,88.0,6.0
15115,Golden Vanguard: Remastered,Xbox One,2010.0,Role-Playing,NetherRealm Studios,0.04,0.03,0.03,0.01,0.11,74.0,6.7
15116,Radiant Origins 2,Wii,2018.0,Misc,Take-Two Interactive,0.19,0.06,0.02,0.11,0.38,,8.5
15117,Lost Odyssey: Gold Edition,PS5,2022.0,Adventure,Focus Entertainment,0.1,0.1,0.07,0.03,0.3,48.0,4.0
15118,Rogue Kingdom: Redux,PSP,2014.0,Strategy,Team17,0.07,0.06,0.03,0.04,0.2,84.0,4.7
15119,Lost Nexus Reborn,pc ,2004.0,Racing,THQ,0.18,0.12,0.07,0.03,0.4,52.0,6.8
15120,Crimson Requiem: Gold Edition,PS3,2024.0,Misc,Konami,0.03,0.01,0.01,0.02,0.07,67.0,4.1
15121,Frozen Dominion Reborn,PS Vita,2012.0,Platform,Capcom,0.03,0.03,0.01,0.03,0.1,,7.4
15122,Golden Vanguard: Redux,PS5,2017.0,Sports,NetherRealm Studios,0.5,0.35,0.26,0.09,1.2,52.0,6.3
15123,Wicked Covenant 3,Nintendo Switch,2009.0,Platform,CD Projekt,0.17,0.11,0.13,0.04,0.45,63.0,7.0
15124,Eternal Sanctuary Online,Game Boy Advance,2005.0,Puzzle,Rockstar Games,0.04,0.03,0.02,0.01,0.1,69.0,
15125,  LOST REQUIEM 2  ,XBOX ONE,2015.0,Platform,NetherRealm Studios,0.05,0.03,0.01,0.03,0.12,79.0,8.0
15126,Twisted Chronicles 3,PS5,2017.0,Platform,Rockstar Games,0.02,0.01,0.01,0.03,0.07,55.0,
15127,Sacred Realm 2,DS,2009.0,Shooter,Konami,0.01,0.01,0.01,0.01,0.04,90.0,5.6
15128,Radiant Chronicles,Game Boy Advance,2003.0,Sports,Square Enix,0.03,0.01,0.02,0.0,0.06,56.0,6.5
15129,Golden Nexus 3,PS5,2016.0,Shooter,2K Games,0.04,0.02,0.0,0.03,0.09,84.0,7.9
15130,Dark Arena: Redux,PS5,2020.0,Puzzle,Paradox Interactive,0.11,0.07,0.07,0.01,0.26,85.0,7.5
15131,Golden Kingdom: Remastered,DS,2011.0,Sports,505 Games,0.42,0.19,0.09,0.27,0.97,73.0,4.9
15132,Twisted Blitz: Origins,ps3,2018.0,Puzzle,THQ,0.05,0.04,0.01,0.05,0.15,53.0,9.2
15133,Wild Warfare Reborn,Xbox 360,2021.0,Puzzle,NetherRealm Studios,0.01,0.0,0.0,0.01,0.02,77.0,4.0
15134,Frozen Rebellion,GameCube,2007.0,Strategy,Sega,0.04,0.02,0.03,0.0,0.09,88.0,8.6
15135,Shadow Horizon III,Wii,2025.0,Strategy,Deep Silver,0.02,0.01,0.0,0.0,0.03,83.0,8.6
15136,Crimson Genesis 3,PC,2004.0,Strategy,Warner Bros. Interactive,0.14,0.09,0.01,0.03,0.27,77.0,6.6
15137,Silent Sanctuary III,PS Vita,2000.0,Racing,NetherRealm Studios,0.03,0.02,0.0,0.03,0.08,69.0,8.8
15138,Twisted Legion: Remastered,GameCube,2025.0,Action,Rockstar Games,0.07,0.03,0.02,0.01,0.13,76.0,
15139,Wicked Arena: Redux,Wii U,2019.0,Role-Playing,CD Projekt,0.03,0.03,0.01,0.01,0.08,,6.1
15140,  ETERNAL REQUIEM II  ,GameCube,2014.0,Action,Take-Two Interactive,0.05,0.06,0.01,0.05,0.17,52.0,10.0
15141,Sacred Genesis: Gold Edition,Wii,2024.0,Fighting,Electronic Arts,0.17,0.06,0.01,0.1,0.34,73.0,6.4
15142,Fallen Horizon,3DS,2023.0,Sports,Microsoft Studios,0.11,0.06,0.05,0.0,0.22,57.0,6.8
15143,Hollow Empire 3,PS5,2011.0,Strategy,Tecmo Koei,0.17,0.12,0.04,0.11,0.44,87.0,5.8
15144,Hollow Legends,PC,2013.0,Strategy,Nintendo,0.01,0.01,0.01,0.01,0.04,58.0,5.9
15145,Fallen Genesis,Xbox Series X,2016.0,Role-Playing,NetherRealm Studios,0.01,0.01,0.0,0.01,0.03,49.0,8.0
15146,Rising Blitz,PSP,2004.0,Racing,Devolver Digital,0.03,0.02,0.0,0.02,0.07,64.0,
15147,Rogue Kingdom: Gold Edition,DS,2006.0,Racing,Take-Two Interactive,0.49,0.27,0.22,0.14,1.12,72.0,7.7
15148,Hollow Syndicate 2,Wii,2006.0,Shooter,NetherRealm Studios,0.07,0.04,0.01,0.03,0.15,60.0,3.5
15149,Golden Chronicles,Wii,2006.0,Adventure,Microsoft Studios,0.47,0.3,0.25,0.57,1.59,,7.9
15150,  STORM SYNDICATE: GOLD EDITION  ,3DS,2004.0,Sports,Team17,0.06,0.06,0.03,0.03,0.18,67.0,8.1
15151,Dark Odyssey,PS2,2016.0,Misc,Warner Bros. Interactive,0.22,0.08,0.02,0.11,0.43,,7.0
15152,Radiant Horizon 2,Wii,2011.0,Shooter,NetherRealm Studios,0.14,0.1,0.06,0.02,0.32,,9.9
15153,Shadow Odyssey 2,PS3,2023.0,Platform,NetherRealm Studios,0.13,0.04,0.05,0.02,0.24,73.0,7.6
15154,Rogue Voyage II,3DS,,Misc,Rockstar Games,0.02,0.01,0.01,0.02,0.06,67.0,5.5
15155,Silent Requiem Reborn,PS3,2011.0,Misc,Warner Bros. Interactive,0.04,0.02,0.01,0.01,0.08,80.0,6.5
15156,Dark Empire 2,PC,2016.0,Racing,505 Games,0.02,0.01,0.0,0.01,0.04,72.0,6.9
15157,Astral Arena,3DS,2019.0,Action,2K Games,0.04,0.03,0.02,0.01,0.1,62.0,6.8
15158,Savage Syndicate Online,PS Vita,2003.0,Adventure,Annapurna Interactive,0.01,0.01,0.0,0.0,0.02,81.0,7.5
15159,Radiant Nexus,Wii,2016.0,Misc,Take-Two Interactive,0.2,0.08,0.07,0.16,0.51,83.0,5.7
15160,Silent Odyssey 3,PS Vita,2005.0,Platform,,0.01,0.01,0.0,0.0,0.02,63.0,9.0
15161,Neon Warfare: Origins,DS,2008.0,Adventure,Warner Bros. Interactive,0.04,0.02,0.02,0.01,0.09,85.0,7.1
15162,Ancient Voyage II,Wii,2012.0,Simulation,Atari,0.07,0.05,0.06,0.01,0.19,,8.6
15163,Iron Requiem: Redux,PS4,2001.0,Adventure,THQ,0.44,0.35,0.12,0.12,1.03,51.0,7.2
15164,Eternal Origins 2,PS4,2006.0,Simulation,Square Enix,0.01,0.01,0.0,0.0,0.02,70.0,9.0
15165,Wicked Odyssey: Remastered,Xbox 360,2003.0,Shooter,505 Games,0.04,0.02,0.03,0.0,0.09,66.0,8.4
15166,Rising Voyage II,PS4,2013.0,Shooter,Rockstar Games,0.01,0.01,0.0,0.01,0.03,69.0,8.7
15167,Storm Legends 2,Wii,2001.0,Sports,Devolver Digital,0.08,0.04,0.05,0.08,0.25,65.0,8.7
15168,Lost Sanctuary III,3DS,2000.0,Strategy,Devolver Digital,0.05,0.03,0.02,0.0,0.1,63.0,6.8
15169,Ancient Syndicate IV,PS5,2014.0,Puzzle,NetherRealm Studios,0.61,0.41,0.06,0.4,1.48,65.0,5.4
15170,Wild Crusade,Wii,2004.0,Misc,Capcom,0.04,0.04,0.01,0.03,0.12,85.0,6.0
15171,Wicked Horizon,PS4,2018.0,Fighting,Codemasters,0.34,0.17,0.18,0.06,0.75,69.0,
15172,Eternal Vanguard: Origins,PC,2008.0,Role-Playing,Team17,0.01,0.0,0.0,0.0,0.01,76.0,6.1
15173,Ancient Empire: Origins,Xbox One,,Shooter,Konami,0.02,0.01,0.0,0.01,0.04,,8.5
15174,Wild Requiem III,Wii U,2024.0,Puzzle,Sony Interactive Entertainment,0.03,0.02,0.02,0.0,0.07,77.0,6.8
15175,Silent Crusade: Remastered,3DS,2010.0,Platform,Team17,0.04,0.02,0.02,0.02,0.1,67.0,6.5
15176,Rising Syndicate: Gold Edition,PSP,2016.0,Adventure,Team17,0.08,0.06,0.02,0.03,0.19,58.0,7.0
15177,Iron Odyssey Reborn,Xbox One,2008.0,Strategy,THQ,0.02,0.01,0.01,0.0,0.04,97.0,
15178,Rogue Vanguard: Origins,PS3,2017.0,Misc,Nintendo,0.01,0.01,0.0,0.0,0.02,80.0,6.8
15179,Lost Reckoning II,DS,2023.0,Puzzle,Warner Bros. Interactive,0.04,0.02,0.01,0.02,0.09,82.0,6.3
15180,Eternal Origins 2,Xbox One,2015.0,Puzzle,Sega,0.02,0.02,0.01,0.01,0.06,66.0,
15181,Astral Frontier IV,DS,,Role-Playing,Epic Games,0.07,0.06,0.02,0.09,0.24,78.0,8.3
15182,Savage Nexus II,PS3,2018.0,Adventure,505 Games,0.01,0.01,0.0,0.0,0.02,78.0,7.2
15183,Rising Horizon IV,Wii U,2014.0,Misc,CD Projekt,0.04,0.02,0.02,0.0,0.08,52.0,5.4
15184,Astral Arena: Remastered,PC,2014.0,Role-Playing,Epic Games,0.01,0.01,0.0,0.0,0.02,62.0,
15185,Astral Requiem 2,3DS,2010.0,Puzzle,Sony Interactive Entertainment,0.01,0.0,0.0,0.01,0.02,74.0,6.8
15186,Wicked Horizon: Redux,Wii U,2001.0,Sports,Bethesda Softworks,0.02,0.01,0.01,0.01,0.05,,7.0
15187,Sacred Genesis III,PS5,2025.0,Adventure,Activision,0.04,0.02,0.0,0.01,0.07,89.0,6.4
15188,Broken Uprising: Origins,PS2,2018.0,Action,Epic Games,0.13,0.1,0.09,0.01,0.33,46.0,7.2
